action,policy,surge_room,surge_time,elapsed_time,remaining_agents,episode_reward,error
0,ACB,C,10.0,69.7,0,-0.5483333333333333,
3,ACA,C,10.0,69.7,0,-0.5566666666666666,
1,ACJ1,C,10.0,69.7,0,-0.5598412698412698,
14,CCA,C,10.0,71.12,0,-0.5621746031746032,
11,CCB,C,10.0,71.12,0,-0.5728888888888889,
21,CJ3A,C,10.0,71.47,0,-0.562531746031746,
12,CCJ1,C,10.0,76.86,0,-0.630968253968254,
2,ACJ2,C,10.0,81.96000000000001,0,-0.6446190476190476,
13,CCJ2,C,10.0,83.34,0,-0.6721269841269841,
4,AJ1B,C,10.0,84.99,0,-0.6753412698412699,
20,CJ3J1,C,10.0,86.35000000000001,0,-0.7035317460317461,
15,CJ1B,C,10.0,89.8,0,-0.7072222222222221,
18,CJ1A,C,10.0,89.8,0,-0.6965079365079364,
7,AJ1A,C,10.0,93.8,0,-0.7572222222222221,
10,AJ3A,C,10.0,95.96000000000001,0,-0.775968253968254,
16,CJ1J1,C,10.0,96.45,0,-0.7739285714285714,
5,AJ1J1,C,10.0,97.82000000000001,0,-0.7906666666666666,
27,J2J3A,C,10.0,101.57000000000001,0,-0.8170555555555556,
9,AJ3J1,C,10.0,103.64,0,-0.8313333333333334,
6,AJ1J2,C,10.0,105.63,0,-0.8427857142857142,
17,CJ1J2,C,10.0,107.46000000000001,0,-0.8616825396825397,
29,J3CJ2,C,10.0,108.69,0,-0.8970873015873014,
8,AJ3B,C,10.0,137.76,0,-1.0439047619047617,
19,CJ3B,C,10.0,137.76,0,-1.0494603174603172,
30,J3CA,C,10.0,180.0,2,-1.2333333333333334,
28,J3CB,C,10.0,180.0,14,-1.2873015873015874,
22,J2CB,C,10.0,180.0,31,-1.5269841269841269,
25,J2CA,C,10.0,180.0,31,-1.5162698412698412,
26,J2J3B,C,10.0,180.0,14,-1.503968253968254,
31,J3J1B,C,10.0,180.0,21,-1.521031746031746,
23,J2CJ1,C,10.0,180.0,93,-1.710714285714285,
24,J2CJ2,C,10.0,180.0,83,-1.7178571428571427,
32,J3J1A,C,10.0,180.0,69,-1.676587301587301,
34,J3J3A,C,10.0,180.0,42,-1.6107142857142853,
33,J3J3B,C,10.0,180.0,27,-1.5408730158730157,
