incident,pre_policy,post_policy,seed,elapsed_time,remaining_agents,episode_reward,error
B_connector,CCA,CJ3A,3,66.9,0,-0.5212698412698412,
B_connector,CCA,ACB,3,70.42,0,-0.5463809523809523,
B_connector,CCA,ACJ1,3,70.42,0,-0.5503492063492063,
B_connector,CCA,ACA,3,70.42,0,-0.5495555555555555,
B_connector,CCA,J3CA,3,70.95,0,-0.5651984126984128,
B_connector,CCA,ACJ2,3,71.54,0,-0.5577619047619047,
B_connector,CCA,CCB,3,72.54,0,-0.5660952380952382,
B_connector,CCA,CCA,3,72.54,0,-0.5664920634920636,
B_connector,CCA,CCJ2,3,72.83,0,-0.5716746031746032,
B_connector,CCA,CCJ1,3,73.91,0,-0.5792619047619048,
B_connector,CCA,J3CB,3,74.21000000000001,0,-0.586484126984127,
B_connector,CCA,AJ1B,3,76.98,0,-0.6026666666666667,
B_connector,CCA,AJ3A,3,78.7,0,-0.6181746031746032,
B_connector,CCA,CJ3J1,3,80.27,0,-0.6233253968253968,
B_connector,CCA,AJ1J1,3,81.47,0,-0.6367380952380952,
B_connector,CCA,AJ1J2,3,82.44,0,-0.6453015873015873,
B_connector,CCA,J2J3A,3,84.58,0,-0.6599682539682539,
B_connector,CCA,AJ3J1,3,85.51,0,-0.6623571428571429,
B_connector,CCA,CJ1J1,3,86.75,0,-0.6680555555555555,
B_connector,CCA,CJ1B,3,87.35000000000001,0,-0.6686111111111112,
B_connector,CCA,CJ1A,3,87.35000000000001,0,-0.6690079365079366,
B_connector,CCA,CJ1J2,3,87.53,0,-0.6787380952380953,
B_connector,CCA,J3CJ2,3,90.8,0,-0.7100000000000001,
B_connector,CCA,AJ1A,3,92.57000000000001,0,-0.7099126984126984,
B_connector,CCA,AJ3B,3,95.96000000000001,0,-0.7085079365079365,
B_connector,CCA,CJ3B,3,95.96000000000001,0,-0.7085079365079365,
B_connector,CCA,J3J3B,3,135.19,0,-1.0145476190476188,
B_connector,CCA,J2J3B,3,136.03,0,-1.0200079365079364,
B_connector,CCA,J3J1B,3,140.01,0,-1.0532301587301585,
B_connector,CCA,J2CA,3,142.41,0,-1.081642857142857,
B_connector,CCA,J2CB,3,142.41,0,-1.0812460317460315,
B_connector,CCA,J2CJ2,3,169.41,0,-1.273706349206349,
B_connector,CCA,J2CJ1,3,180.0,1,-1.3567460317460316,
B_connector,CCA,J3J3A,3,180.0,2,-1.3015873015873016,
B_connector,CCA,J3J1A,3,180.0,2,-1.3134920634920633,
C_exit,CCA,AJ3B,3,65.32000000000001,0,-0.5204285714285715,
C_exit,CCA,J3J3B,3,69.35000000000001,0,-0.5634523809523809,
C_exit,CCA,AJ3A,3,75.9,0,-0.6065873015873016,
C_exit,CCA,AJ1B,3,78.48,0,-0.6189365079365079,
C_exit,CCA,J2J3B,3,82.07000000000001,0,-0.652373015873016,
C_exit,CCA,AJ1A,3,83.48,0,-0.6594126984126983,
C_exit,CCA,J2J3A,3,84.69,0,-0.6705,
C_exit,CCA,AJ1J1,3,85.03,0,-0.6664365079365079,
C_exit,CCA,AJ3J1,3,86.66,0,-0.6806507936507936,
C_exit,CCA,AJ1J2,3,86.89,0,-0.6799444444444444,
C_exit,CCA,CJ3B,3,90.01,0,-0.6956904761904763,
C_exit,CCA,CJ3A,3,90.01,0,-0.6964841269841271,
C_exit,CCA,J3J1B,3,93.33,0,-0.7319920634920635,
C_exit,CCA,J3CB,3,113.16,0,-0.8616031746031746,
C_exit,CCA,J3CA,3,113.16,0,-0.8687460317460317,
C_exit,CCA,ACB,3,113.35000000000001,0,-0.8523412698412698,
C_exit,CCA,ACJ1,3,113.35000000000001,0,-0.8551190476190477,
C_exit,CCA,ACA,3,113.35000000000001,0,-0.8559126984126983,
C_exit,CCA,ACJ2,3,116.65,0,-0.8801984126984127,
C_exit,CCA,J2CB,3,153.53,0,-1.1850873015873016,
C_exit,CCA,J2CA,3,153.53,0,-1.185484126984127,
C_exit,CCA,J2CJ1,3,155.9,0,-1.2117460317460318,
C_exit,CCA,CJ1J1,3,180.0,36,-1.4313492063492061,
C_exit,CCA,CCJ1,3,180.0,74,-1.5765873015873013,
C_exit,CCA,CJ1A,3,180.0,58,-1.496031746031746,
C_exit,CCA,CJ1B,3,180.0,58,-1.4956349206349207,
C_exit,CCA,CCA,3,180.0,76,-1.5841269841269838,
C_exit,CCA,CCB,3,180.0,76,-1.5837301587301584,
C_exit,CCA,J2CJ2,3,180.0,2,-1.3837301587301587,
C_exit,CCA,CJ3J1,3,180.0,53,-1.4829365079365076,
C_exit,CCA,CJ1J2,3,180.0,55,-1.4900793650793647,
C_exit,CCA,J3CJ2,3,180.0,44,-1.4480158730158728,
C_exit,CCA,CCJ2,3,180.0,73,-1.5718253968253966,
C_exit,CCA,J3J3A,3,180.0,2,-1.3119047619047617,
C_exit,CCA,J3J1A,3,180.0,2,-1.3317460317460317,
