action,policy,incident,surge_room,surge_time,elapsed_time,remaining_agents,episode_reward,error
0,ACB,B_connector,C,10.0,69.7,0,-0.5483333333333333,
1,ACJ1,B_connector,C,10.0,69.7,0,-0.5598412698412698,
3,ACA,B_connector,C,10.0,69.7,0,-0.5566666666666666,
11,CCB,B_connector,C,10.0,71.12,0,-0.5728888888888889,
14,CCA,B_connector,C,10.0,71.12,0,-0.5621746031746032,
21,CJ3A,B_connector,C,10.0,71.47,0,-0.562531746031746,
12,CCJ1,B_connector,C,10.0,76.86,0,-0.630968253968254,
2,ACJ2,B_connector,C,10.0,81.96000000000001,0,-0.6446190476190476,
13,CCJ2,B_connector,C,10.0,83.34,0,-0.6721269841269841,
4,AJ1B,B_connector,C,10.0,84.99,0,-0.6753412698412699,
20,CJ3J1,B_connector,C,10.0,86.35000000000001,0,-0.7035317460317461,
15,CJ1B,B_connector,C,10.0,89.8,0,-0.7072222222222221,
18,CJ1A,B_connector,C,10.0,89.8,0,-0.6965079365079364,
7,AJ1A,B_connector,C,10.0,93.8,0,-0.7572222222222221,
10,AJ3A,B_connector,C,10.0,95.96000000000001,0,-0.775968253968254,
16,CJ1J1,B_connector,C,10.0,96.45,0,-0.7739285714285714,
5,AJ1J1,B_connector,C,10.0,97.82000000000001,0,-0.7906666666666666,
27,J2J3A,B_connector,C,10.0,101.57000000000001,0,-0.8170555555555556,
9,AJ3J1,B_connector,C,10.0,103.64,0,-0.8313333333333334,
6,AJ1J2,B_connector,C,10.0,105.63,0,-0.8427857142857142,
17,CJ1J2,B_connector,C,10.0,107.46000000000001,0,-0.8616825396825397,
29,J3CJ2,B_connector,C,10.0,108.69,0,-0.8970873015873014,
8,AJ3B,B_connector,C,10.0,137.76,0,-1.0439047619047617,
19,CJ3B,B_connector,C,10.0,137.76,0,-1.0494603174603172,
25,J2CA,B_connector,C,10.0,180.0,31,-1.5162698412698412,
23,J2CJ1,B_connector,C,10.0,180.0,93,-1.710714285714285,
28,J3CB,B_connector,C,10.0,180.0,14,-1.2873015873015874,
22,J2CB,B_connector,C,10.0,180.0,31,-1.5269841269841269,
30,J3CA,B_connector,C,10.0,180.0,2,-1.2333333333333334,
24,J2CJ2,B_connector,C,10.0,180.0,83,-1.7178571428571427,
26,J2J3B,B_connector,C,10.0,180.0,14,-1.503968253968254,
32,J3J1A,B_connector,C,10.0,180.0,69,-1.676587301587301,
31,J3J1B,B_connector,C,10.0,180.0,21,-1.521031746031746,
34,J3J3A,B_connector,C,10.0,180.0,42,-1.6107142857142853,
33,J3J3B,B_connector,C,10.0,180.0,27,-1.5408730158730157,
21,CJ3A,C_exit,C,10.0,71.47,0,-0.5803888888888888,
4,AJ1B,C_exit,C,10.0,84.99,0,-0.6725634920634921,
7,AJ1A,C_exit,C,10.0,93.8,0,-0.7572222222222221,
10,AJ3A,C_exit,C,10.0,95.96000000000001,0,-0.775968253968254,
1,ACJ1,C_exit,C,10.0,97.42,0,-0.7440000000000001,
0,ACB,C_exit,C,10.0,97.42,0,-0.7297142857142858,
3,ACA,C_exit,C,10.0,97.42,0,-0.7408253968253968,
28,J3CB,C_exit,C,10.0,97.42,0,-0.7721746031746033,
5,AJ1J1,C_exit,C,10.0,97.82000000000001,0,-0.7906666666666666,
8,AJ3B,C_exit,C,10.0,100.07000000000001,0,-0.782531746031746,
19,CJ3B,C_exit,C,10.0,100.07000000000001,0,-0.8059444444444445,
27,J2J3A,C_exit,C,10.0,101.57000000000001,0,-0.8170555555555556,
9,AJ3J1,C_exit,C,10.0,103.64,0,-0.8313333333333334,
6,AJ1J2,C_exit,C,10.0,105.63,0,-0.8427857142857142,
31,J3J1B,C_exit,C,10.0,113.05,0,-0.9375793650793651,
26,J2J3B,C_exit,C,10.0,127.74000000000001,0,-1.0664126984126987,
2,ACJ2,C_exit,C,10.0,137.18,0,-1.0315555555555556,
33,J3J3B,C_exit,C,10.0,138.17000000000002,0,-1.1441984126984128,
18,CJ1A,C_exit,C,10.0,180.0,34,-1.4138888888888885,
11,CCB,C_exit,C,10.0,180.0,79,-1.6091269841269835,
15,CJ1B,C_exit,C,10.0,180.0,34,-1.4218253968253967,
13,CCJ2,C_exit,C,10.0,180.0,89,-1.6789682539682533,
16,CJ1J1,C_exit,C,10.0,180.0,57,-1.5480158730158726,
14,CCA,C_exit,C,10.0,180.0,79,-1.6011904761904758,
12,CCJ1,C_exit,C,10.0,180.0,103,-1.752380952380953,
20,CJ3J1,C_exit,C,10.0,180.0,81,-1.6400793650793644,
17,CJ1J2,C_exit,C,10.0,180.0,68,-1.5853174603174598,
25,J2CA,C_exit,C,10.0,180.0,32,-1.5047619047619047,
24,J2CJ2,C_exit,C,10.0,180.0,76,-1.6972222222222215,
22,J2CB,C_exit,C,10.0,180.0,32,-1.5126984126984127,
23,J2CJ1,C_exit,C,10.0,180.0,85,-1.697619047619047,
30,J3CA,C_exit,C,10.0,180.0,2,-1.2634920634920637,
29,J3CJ2,C_exit,C,10.0,180.0,67,-1.583333333333333,
32,J3J1A,C_exit,C,10.0,180.0,69,-1.676587301587301,
34,J3J3A,C_exit,C,10.0,180.0,42,-1.6107142857142853,
