pre_action,pre_policy,post_action,post_policy,surge_room,surge_time,elapsed_time,remaining_agents,episode_reward,steps,error
14,CCA,0,ACB,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,1,ACJ1,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,2,ACJ2,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,3,ACA,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,4,AJ1B,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,5,AJ1J1,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,6,AJ1J2,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,7,AJ1A,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,8,AJ3B,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,9,AJ3J1,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,10,AJ3A,A,20.0,62.910000000000004,0,-0.47357407407407404,7,
14,CCA,11,CCB,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,12,CCJ1,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,13,CCJ2,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,14,CCA,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,15,CJ1B,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,16,CJ1J1,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,17,CJ1J2,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,18,CJ1A,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,19,CJ3B,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,20,CJ3J1,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,21,CJ3A,A,20.0,65.6,0,-0.4922222222222221,7,
14,CCA,22,J2CB,A,20.0,123.55,0,-0.9002777777777777,13,
14,CCA,23,J2CJ1,A,20.0,123.55,0,-0.9002777777777777,13,
14,CCA,24,J2CJ2,A,20.0,123.55,0,-0.9002777777777777,13,
14,CCA,25,J2CA,A,20.0,123.55,0,-0.9002777777777777,13,
14,CCA,26,J2J3B,A,20.0,90.22,0,-0.6720555555555555,10,
14,CCA,27,J2J3A,A,20.0,90.79,0,-0.6719814814814814,10,
14,CCA,28,J3CB,A,20.0,79.84,0,-0.5917037037037037,8,
14,CCA,29,J3CJ2,A,20.0,99.59,0,-0.7305925925925926,10,
14,CCA,30,J3CA,A,20.0,180.0,2,-1.178703703703704,18,
14,CCA,31,J3J1B,A,20.0,79.84,0,-0.5917037037037037,8,
14,CCA,32,J3J1A,A,20.0,180.0,2,-1.178703703703704,18,
14,CCA,33,J3J3B,A,20.0,79.84,0,-0.5917037037037037,8,
14,CCA,34,J3J3A,A,20.0,180.0,2,-1.178703703703704,18,
14,CCA,0,ACB,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,1,ACJ1,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,2,ACJ2,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,3,ACA,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,4,AJ1B,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,5,AJ1J1,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,6,AJ1J2,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,7,AJ1A,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,8,AJ3B,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,9,AJ3J1,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,10,AJ3A,A,30.0,71.61,0,-0.5191296296296296,8,
14,CCA,11,CCB,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,12,CCJ1,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,13,CCJ2,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,14,CCA,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,15,CJ1B,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,16,CJ1J1,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,17,CJ1J2,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,18,CJ1A,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,19,CJ3B,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,20,CJ3J1,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,21,CJ3A,A,30.0,75.32000000000001,0,-0.5462222222222223,8,
14,CCA,22,J2CB,A,30.0,133.44,0,-0.9533703703703704,14,
14,CCA,23,J2CJ1,A,30.0,133.44,0,-0.9533703703703704,14,
14,CCA,24,J2CJ2,A,30.0,133.44,0,-0.9533703703703704,14,
14,CCA,25,J2CA,A,30.0,133.44,0,-0.9533703703703704,14,
14,CCA,26,J2J3B,A,30.0,101.52,0,-0.7352962962962964,11,
14,CCA,27,J2J3A,A,30.0,103.02,0,-0.7422407407407406,11,
14,CCA,28,J3CB,A,30.0,85.73,0,-0.623962962962963,9,
14,CCA,29,J3CJ2,A,30.0,109.10000000000001,0,-0.7829629629629631,11,
14,CCA,30,J3CA,A,30.0,109.85000000000001,0,-0.7764814814814814,11,
14,CCA,31,J3J1B,A,30.0,85.73,0,-0.623962962962963,9,
14,CCA,32,J3J1A,A,30.0,109.85000000000001,0,-0.7764814814814814,11,
14,CCA,33,J3J3B,A,30.0,85.73,0,-0.623962962962963,9,
14,CCA,34,J3J3A,A,30.0,109.85000000000001,0,-0.7764814814814814,11,
14,CCA,0,ACB,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,1,ACJ1,B,20.0,79.15,0,-0.5901851851851853,8,
14,CCA,2,ACJ2,B,20.0,82.66,0,-0.612,9,
14,CCA,3,ACA,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,4,AJ1B,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,5,AJ1J1,B,20.0,79.15,0,-0.5901851851851853,8,
14,CCA,6,AJ1J2,B,20.0,100.06,0,-0.729037037037037,11,
14,CCA,7,AJ1A,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,8,AJ3B,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,9,AJ3J1,B,20.0,79.15,0,-0.5901851851851853,8,
14,CCA,10,AJ3A,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,11,CCB,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,12,CCJ1,B,20.0,73.91,0,-0.5569074074074074,8,
14,CCA,13,CCJ2,B,20.0,82.66,0,-0.612,9,
14,CCA,14,CCA,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,15,CJ1B,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,16,CJ1J1,B,20.0,73.91,0,-0.5569074074074074,8,
14,CCA,17,CJ1J2,B,20.0,105.12,0,-0.7659444444444445,11,
14,CCA,18,CJ1A,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,19,CJ3B,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,20,CJ3J1,B,20.0,73.91,0,-0.5569074074074074,8,
14,CCA,21,CJ3A,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,22,J2CB,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,23,J2CJ1,B,20.0,137.92000000000002,0,-1.0027962962962964,14,
14,CCA,24,J2CJ2,B,20.0,82.66,0,-0.612,9,
14,CCA,25,J2CA,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,26,J2J3B,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,27,J2J3A,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,28,J3CB,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,29,J3CJ2,B,20.0,82.66,0,-0.612,9,
14,CCA,30,J3CA,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,31,J3J1B,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,32,J3J1A,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,33,J3J3B,B,20.0,125.04,0,-0.9201296296296296,13,
14,CCA,34,J3J3A,B,20.0,62.82,0,-0.4693703703703703,7,
14,CCA,0,ACB,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,1,ACJ1,B,30.0,89.93,0,-0.6500740740740741,9,
14,CCA,2,ACJ2,B,30.0,93.28,0,-0.671925925925926,10,
14,CCA,3,ACA,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,4,AJ1B,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,5,AJ1J1,B,30.0,89.93,0,-0.6500740740740741,9,
14,CCA,6,AJ1J2,B,30.0,110.41,0,-0.7837592592592592,12,
14,CCA,7,AJ1A,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,8,AJ3B,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,9,AJ3J1,B,30.0,89.93,0,-0.6500740740740741,9,
14,CCA,10,AJ3A,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,11,CCB,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,12,CCJ1,B,30.0,86.44,0,-0.6269814814814816,9,
14,CCA,13,CCJ2,B,30.0,93.28,0,-0.671925925925926,10,
14,CCA,14,CCA,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,15,CJ1B,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,16,CJ1J1,B,30.0,86.44,0,-0.6269814814814816,9,
14,CCA,17,CJ1J2,B,30.0,112.88,0,-0.8090555555555556,12,
14,CCA,18,CJ1A,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,19,CJ3B,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,20,CJ3J1,B,30.0,86.44,0,-0.6269814814814816,9,
14,CCA,21,CJ3A,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,22,J2CB,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,23,J2CJ1,B,30.0,147.25,0,-1.0495370370370372,15,
14,CCA,24,J2CJ2,B,30.0,93.28,0,-0.671925925925926,10,
14,CCA,25,J2CA,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,26,J2J3B,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,27,J2J3A,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,28,J3CB,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,29,J3CJ2,B,30.0,93.28,0,-0.671925925925926,10,
14,CCA,30,J3CA,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,31,J3J1B,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,32,J3J1A,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,33,J3J3B,B,30.0,138.79,0,-0.9992962962962963,14,
14,CCA,34,J3J3A,B,30.0,72.82000000000001,0,-0.524925925925926,8,
14,CCA,0,ACB,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,1,ACJ1,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,2,ACJ2,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,3,ACA,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,4,AJ1B,C,20.0,79.58,0,-0.5934999999999999,8,
14,CCA,5,AJ1J1,C,20.0,79.58,0,-0.5934999999999999,8,
14,CCA,6,AJ1J2,C,20.0,79.58,0,-0.5934999999999999,8,
14,CCA,7,AJ1A,C,20.0,79.58,0,-0.5934999999999999,8,
14,CCA,8,AJ3B,C,20.0,70.19,0,-0.5265185185185186,8,
14,CCA,9,AJ3J1,C,20.0,89.23,0,-0.660074074074074,9,
14,CCA,10,AJ3A,C,20.0,74.52,0,-0.5501111111111111,8,
14,CCA,11,CCB,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,12,CCJ1,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,13,CCJ2,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,14,CCA,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,15,CJ1B,C,20.0,92.02,0,-0.6778888888888889,10,
14,CCA,16,CJ1J1,C,20.0,92.02,0,-0.6778888888888889,10,
14,CCA,17,CJ1J2,C,20.0,92.02,0,-0.6778888888888889,10,
14,CCA,18,CJ1A,C,20.0,92.02,0,-0.6778888888888889,10,
14,CCA,19,CJ3B,C,20.0,70.19,0,-0.5265185185185186,8,
14,CCA,20,CJ3J1,C,20.0,86.69,0,-0.6445740740740741,9,
14,CCA,21,CJ3A,C,20.0,74.52,0,-0.5501111111111111,8,
14,CCA,22,J2CB,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,23,J2CJ1,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,24,J2CJ2,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,25,J2CA,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,26,J2J3B,C,20.0,70.19,0,-0.5265185185185186,8,
14,CCA,27,J2J3A,C,20.0,74.52,0,-0.5501111111111111,8,
14,CCA,28,J3CB,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,29,J3CJ2,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,30,J3CA,C,20.0,73.87,0,-0.5520555555555556,8,
14,CCA,31,J3J1B,C,20.0,96.98,0,-0.7184074074074074,10,
14,CCA,32,J3J1A,C,20.0,107.10000000000001,0,-0.7783333333333334,11,
14,CCA,33,J3J3B,C,20.0,70.19,0,-0.5265185185185186,8,
14,CCA,34,J3J3A,C,20.0,74.52,0,-0.5501111111111111,8,
14,CCA,0,ACB,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,1,ACJ1,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,2,ACJ2,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,3,ACA,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,4,AJ1B,C,30.0,90.8,0,-0.6576851851851852,10,
14,CCA,5,AJ1J1,C,30.0,90.8,0,-0.6576851851851852,10,
14,CCA,6,AJ1J2,C,30.0,90.8,0,-0.6576851851851852,10,
14,CCA,7,AJ1A,C,30.0,90.8,0,-0.6576851851851852,10,
14,CCA,8,AJ3B,C,30.0,81.86,0,-0.5922777777777778,9,
14,CCA,9,AJ3J1,C,30.0,97.58,0,-0.706462962962963,10,
14,CCA,10,AJ3A,C,30.0,82.32000000000001,0,-0.5925185185185186,9,
14,CCA,11,CCB,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,12,CCJ1,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,13,CCJ2,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,14,CCA,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,15,CJ1B,C,30.0,102.52,0,-0.738537037037037,11,
14,CCA,16,CJ1J1,C,30.0,102.52,0,-0.738537037037037,11,
14,CCA,17,CJ1J2,C,30.0,102.52,0,-0.738537037037037,11,
14,CCA,18,CJ1A,C,30.0,102.52,0,-0.738537037037037,11,
14,CCA,19,CJ3B,C,30.0,81.86,0,-0.5922777777777778,9,
14,CCA,20,CJ3J1,C,30.0,95.07000000000001,0,-0.6892777777777778,10,
14,CCA,21,CJ3A,C,30.0,82.32000000000001,0,-0.5925185185185186,9,
14,CCA,22,J2CB,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,23,J2CJ1,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,24,J2CJ2,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,25,J2CA,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,26,J2J3B,C,30.0,81.86,0,-0.5922777777777778,9,
14,CCA,27,J2J3A,C,30.0,82.32000000000001,0,-0.5925185185185186,9,
14,CCA,28,J3CB,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,29,J3CJ2,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,30,J3CA,C,30.0,88.59,0,-0.6324444444444445,9,
14,CCA,31,J3J1B,C,30.0,109.18,0,-0.7866481481481482,11,
14,CCA,32,J3J1A,C,30.0,117.43,0,-0.8371111111111113,12,
14,CCA,33,J3J3B,C,30.0,81.86,0,-0.5922777777777778,9,
14,CCA,34,J3J3A,C,30.0,82.32000000000001,0,-0.5925185185185186,9,
14,CCA,0,ACB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,1,ACJ1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,2,ACJ2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,3,ACA,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,4,AJ1B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,5,AJ1J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,6,AJ1J2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,7,AJ1A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,8,AJ3B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,9,AJ3J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,10,AJ3A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,11,CCB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,12,CCJ1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,13,CCJ2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,14,CCA,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,15,CJ1B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,16,CJ1J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,17,CJ1J2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,18,CJ1A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,19,CJ3B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,20,CJ3J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,21,CJ3A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,22,J2CB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,23,J2CJ1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,24,J2CJ2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,25,J2CA,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,26,J2J3B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,27,J2J3A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,28,J3CB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,29,J3CJ2,D,20.0,41.32,0,-0.3175185185185185,5,
