action,policy,population,elapsed_time,remaining_agents,episode_reward,discounted_return,steps
0,ACB,balanced,62.940000000000005,0,-0.4957777777777778,-0.47156175694040875,13
0,ACB,A_extreme,49.46,0,-0.4136666666666667,-0.3981198937800238,10
0,ACB,B_extreme,104.89,0,-0.8249444444444446,-0.7552269484778039,21
0,ACB,C_extreme,60.47,0,-0.49622222222222223,-0.47285325876885087,13
0,ACB,D_extreme,52.54,0,-0.40772222222222226,-0.3913582313103421,11
1,ACJ1,balanced,51.82,0,-0.4226111111111111,-0.4058447046209151,11
1,ACJ1,A_extreme,60.160000000000004,0,-0.4931111111111111,-0.4701262073258782,13
1,ACJ1,B_extreme,62.89,0,-0.5046666666666667,-0.48001728941927624,13
1,ACJ1,C_extreme,57.08,0,-0.466,-0.44553069742309526,12
1,ACJ1,D_extreme,44.68,0,-0.3579444444444445,-0.3459285944285312,9
2,ACJ2,balanced,61.230000000000004,0,-0.4823888888888889,-0.45959306858829196,13
2,ACJ2,A_extreme,50.95,0,-0.42833333333333334,-0.4116097771567152,11
2,ACJ2,B_extreme,73.3,0,-0.5830555555555555,-0.5495259193561967,15
2,ACJ2,C_extreme,69.14,0,-0.5588333333333334,-0.5285006059360431,14
2,ACJ2,D_extreme,56.15,0,-0.4333333333333333,-0.41460143828769663,12
3,ACA,balanced,46.68,0,-0.3821111111111112,-0.36855079646671385,10
3,ACA,A_extreme,59.45,0,-0.48194444444444445,-0.45988454098222303,12
3,ACA,B_extreme,54.89,0,-0.4438333333333333,-0.4251833755768212,11
3,ACA,C_extreme,57.08,0,-0.45738888888888884,-0.43732733792736134,12
3,ACA,D_extreme,41.550000000000004,0,-0.335,-0.32456728185497435,9
4,AJ1B,balanced,62.940000000000005,0,-0.5107777777777778,-0.4856590467082406,13
4,AJ1B,A_extreme,59.43,0,-0.49433333333333324,-0.47153746757194726,12
4,AJ1B,B_extreme,104.89,0,-0.8349444444444446,-0.7646739536915804,21
4,AJ1B,C_extreme,64.29,0,-0.5338333333333334,-0.5068682637299718,13
4,AJ1B,D_extreme,52.54,0,-0.4188333333333333,-0.40184094340930276,11
5,AJ1J1,balanced,68.36,0,-0.5542222222222224,-0.5243123037724551,14
5,AJ1J1,A_extreme,72.82000000000001,0,-0.6017777777777779,-0.5671330986962487,15
5,AJ1J1,B_extreme,73.68,0,-0.5979444444444445,-0.5632525636813989,15
5,AJ1J1,C_extreme,73.64,0,-0.5988333333333333,-0.5641337001360344,15
5,AJ1J1,D_extreme,58.36,0,-0.46088888888888885,-0.43988333942577895,12
6,AJ1J2,balanced,72.25,0,-0.5725,-0.5400779966981054,15
6,AJ1J2,A_extreme,73.87,0,-0.6026111111111112,-0.5676673429433443,15
6,AJ1J2,B_extreme,84.56,0,-0.6739444444444445,-0.6290692774454543,17
6,AJ1J2,C_extreme,77.47,0,-0.6306666666666666,-0.5919868357655501,16
6,AJ1J2,D_extreme,63.480000000000004,0,-0.4932222222222223,-0.4687177489133099,13
7,AJ1A,balanced,63.71,0,-0.5081111111111112,-0.48275963782223574,13
7,AJ1A,A_extreme,69.38,0,-0.5704444444444444,-0.5393351928314307,14
7,AJ1A,B_extreme,69.05,0,-0.5588888888888889,-0.5285141473818531,14
7,AJ1A,C_extreme,75.86,0,-0.6031111111111109,-0.566990076707267,16
7,AJ1A,D_extreme,54.63,0,-0.4262777777777778,-0.4083000479019786,11
8,AJ3B,balanced,87.51,0,-0.6989444444444446,-0.6499834485766601,18
8,AJ3B,A_extreme,55.43,0,-0.4665555555555555,-0.4465682204033915,12
8,AJ3B,B_extreme,142.55,0,-1.180277777777778,-1.0444117606317498,29
8,AJ3B,C_extreme,89.58,0,-0.7232222222222222,-0.6715869757396368,18
8,AJ3B,D_extreme,74.51,0,-0.5767222222222225,-0.5424607408995983,15
9,AJ3J1,balanced,71.66,0,-0.5800555555555555,-0.5470778127772603,15
9,AJ3J1,A_extreme,73.16,0,-0.6014444444444444,-0.5667332567064503,15
9,AJ3J1,B_extreme,87.81,0,-0.7111666666666667,-0.6613509273115423,18
9,AJ3J1,C_extreme,78.79,0,-0.6485555555555556,-0.6077954259475736,16
9,AJ3J1,D_extreme,61.7,0,-0.4819444444444444,-0.4586554184803766,13
10,AJ3A,balanced,63.96,0,-0.5111666666666667,-0.48551864012954615,13
10,AJ3A,A_extreme,69.44,0,-0.5710555555555555,-0.5398273614144635,14
10,AJ3A,B_extreme,68.02,0,-0.5515,-0.522008105110607,14
10,AJ3A,C_extreme,68.11,0,-0.5489444444444443,-0.519598519428665,14
10,AJ3A,D_extreme,54.230000000000004,0,-0.42294444444444446,-0.40525980789106464,11
11,CCB,balanced,62.940000000000005,0,-0.5038333333333334,-0.47921261066886905,13
11,CCB,A_extreme,53.160000000000004,0,-0.4467222222222222,-0.42854717111666313,11
11,CCB,B_extreme,104.89,0,-0.8310555555555558,-0.7610761798409712,21
11,CCB,C_extreme,60.47,0,-0.5009444444444445,-0.47738695389632335,13
11,CCB,D_extreme,52.54,0,-0.41550000000000004,-0.3987659749883201,11
12,CCJ1,balanced,55.1,0,-0.4555555555555556,-0.4360987893401432,12
12,CCJ1,A_extreme,58.52,0,-0.4923333333333334,-0.4699510377117222,12
12,CCJ1,B_extreme,60.77,0,-0.5037222222222223,-0.4799184057054808,13
12,CCJ1,C_extreme,60.04,0,-0.4999444444444445,-0.476626468531701,13
12,CCJ1,D_extreme,48.47,0,-0.3934444444444445,-0.378803949302641,10
13,CCJ2,balanced,62.97,0,-0.5053888888888889,-0.4806495444931478,13
13,CCJ2,A_extreme,58.04,0,-0.48994444444444446,-0.4678250438660381,12
13,CCJ2,B_extreme,71.43,0,-0.5771111111111111,-0.5448265997150412,15
13,CCJ2,C_extreme,70.43,0,-0.5704444444444444,-0.5390306918793599,15
13,CCJ2,D_extreme,55.56,0,-0.43727777777777777,-0.41855403282746334,12
14,CCA,balanced,45.84,0,-0.3677222222222223,-0.35511013420558424,10
14,CCA,A_extreme,53.160000000000004,0,-0.4325555555555556,-0.4150417488495392,11
14,CCA,B_extreme,45.58,0,-0.376,-0.3631331046358048,10
14,CCA,C_extreme,57.370000000000005,0,-0.45455555555555555,-0.4345458476128604,12
14,CCA,D_extreme,41.81,0,-0.33144444444444443,-0.32115292372117077,9
15,CJ1B,balanced,62.940000000000005,0,-0.5171666666666667,-0.49162581962752344,13
15,CJ1B,A_extreme,53.6,0,-0.46027777777777773,-0.4411596749442224,11
15,CJ1B,B_extreme,104.89,0,-0.844388888888889,-0.7735753567153402,21
15,CJ1B,C_extreme,72.9,0,-0.6016666666666667,-0.5670968108812746,15
15,CJ1B,D_extreme,52.54,0,-0.42716666666666675,-0.4097144046189817,11
16,CJ1J1,balanced,61.06,0,-0.5036666666666666,-0.47956626211989145,13
16,CJ1J1,A_extreme,60.96,0,-0.5186666666666666,-0.49391586722932906,13
16,CJ1J1,B_extreme,65.85,0,-0.5552777777777776,-0.526381616640602,14
16,CJ1J1,C_extreme,74.62,0,-0.6120555555555556,-0.5760897775809747,15
16,CJ1J1,D_extreme,58.51,0,-0.4661666666666666,-0.4449245616246285,12
17,CJ1J2,balanced,81.68,0,-0.6457222222222224,-0.6040042984964081,17
17,CJ1J2,A_extreme,71.7,0,-0.5855555555555556,-0.5529135359750582,15
17,CJ1J2,B_extreme,94.71000000000001,0,-0.7650555555555555,-0.7076136494188582,19
17,CJ1J2,C_extreme,87.09,0,-0.7205,-0.6701369611274531,18
17,CJ1J2,D_extreme,71.23,0,-0.5543333333333335,-0.5231437034046311,15
18,CJ1A,balanced,54.33,0,-0.4282222222222223,-0.4103911550215722,11
18,CJ1A,A_extreme,53.6,0,-0.44611111111111107,-0.4276542526770985,11
18,CJ1A,B_extreme,52.550000000000004,0,-0.4280555555555556,-0.4108762844276745,11
18,CJ1A,C_extreme,72.9,0,-0.5725,-0.5396520407000729,15
18,CJ1A,D_extreme,51.61,0,-0.3975555555555556,-0.3819191142040958,11
19,CJ3B,balanced,87.51,0,-0.7017222222222222,-0.6526465959013826,18
19,CJ3B,A_extreme,55.43,0,-0.4726666666666666,-0.45239111435862267,12
19,CJ3B,B_extreme,142.55,0,-1.1838888888888892,-1.0478887734649998,29
19,CJ3B,C_extreme,89.58,0,-0.7268333333333332,-0.6750639885728867,18
19,CJ3B,D_extreme,74.51,0,-0.5808888888888891,-0.5464633590383483,15
20,CJ3J1,balanced,64.62,0,-0.5223333333333334,-0.4960023463501368,13
20,CJ3J1,A_extreme,60.38,0,-0.5132222222222222,-0.48902970064983864,13
