scenario,A,B,C,D,J1,J2,J3,status,evacuation_time,remaining_agents,cyclic,trapped_agents,trapped_rooms,cycles
balanced,25,25,25,25,A,C,A,PASS,44.7,0,False,0,,
balanced,25,25,25,25,C,C,A,PASS,47.6,0,False,0,,
balanced,25,25,25,25,C,J3,A,PASS,48.06,0,False,0,,
balanced,25,25,25,25,A,C,J1,PASS,53.54,0,False,0,,
balanced,25,25,25,25,C,C,J1,PASS,54.15,0,False,0,,
balanced,25,25,25,25,C,J1,A,PASS,56.1,0,False,0,,
balanced,25,25,25,25,A,J1,B,PASS,60.730000000000004,0,False,0,,
balanced,25,25,25,25,A,C,B,PASS,60.730000000000004,0,False,0,,
balanced,25,25,25,25,C,C,B,PASS,60.730000000000004,0,False,0,,
balanced,25,25,25,25,C,J1,B,PASS,60.730000000000004,0,False,0,,
balanced,25,25,25,25,A,J1,A,PASS,61.31,0,False,0,,
balanced,25,25,25,25,C,J3,J1,PASS,61.910000000000004,0,False,0,,
balanced,25,25,25,25,A,C,J2,PASS,62.52,0,False,0,,
balanced,25,25,25,25,C,J1,J1,PASS,62.61,0,False,0,,
balanced,25,25,25,25,C,C,J2,PASS,62.82,0,False,0,,
balanced,25,25,25,25,A,J3,A,PASS,63.09,0,False,0,,
balanced,25,25,25,25,A,J1,J1,PASS,69.95,0,False,0,,
balanced,25,25,25,25,J2,J3,A,PASS,73.42,0,False,0,,
balanced,25,25,25,25,A,J3,J1,PASS,75.72,0,False,0,,
balanced,25,25,25,25,J3,C,J2,PASS,78.65,0,False,0,,
balanced,25,25,25,25,J3,C,B,PASS,94.35000000000001,0,False,0,,
balanced,25,25,25,25,A,J3,B,PASS,98.11,0,False,0,,
balanced,25,25,25,25,C,J3,B,PASS,98.11,0,False,0,,
balanced,25,25,25,25,J2,C,A,PASS,100.84,0,False,0,,
balanced,25,25,25,25,J2,C,B,PASS,100.84,0,False,0,,
balanced,25,25,25,25,J3,J1,B,PASS,119.75,0,False,0,,
balanced,25,25,25,25,J2,J3,B,PASS,128.01,0,False,0,,
balanced,25,25,25,25,J3,J3,B,PASS,131.74,0,False,0,,
balanced,25,25,25,25,J2,C,J2,PASS,142.38,0,False,0,,
balanced,25,25,25,25,J2,C,J1,PASS,151.14000000000001,0,False,0,,
balanced,25,25,25,25,J3,C,A,TIMEOUT,180.0,2,False,0,,
balanced,25,25,25,25,J3,J1,A,TIMEOUT,180.0,2,False,0,,
balanced,25,25,25,25,J3,J3,A,TIMEOUT,180.0,2,False,0,,
balanced,25,25,25,25,C,J1,J2,TIMEOUT,180.0,5,False,0,,
balanced,25,25,25,25,A,J1,J2,TIMEOUT,180.0,7,False,0,,
balanced,25,25,25,25,A,J3,J2,CYCLIC,,50,True,50,"B,C","(('J2', 'J3'),)"
balanced,25,25,25,25,C,J3,J2,CYCLIC,,50,True,50,"B,C","(('J2', 'J3'),)"
balanced,25,25,25,25,J2,J1,B,CYCLIC,,50,True,50,"A,C","(('J1', 'J2'),)"
balanced,25,25,25,25,J2,J1,A,CYCLIC,,50,True,50,"A,C","(('J1', 'J2'),)"
