J1,J2,J3,evacuation_time,remaining_agents,evacuated
C,C,A,40.550000000000004,0,True
C,J1,A,54.09,0,True
C,C,J1,56.76,0,True
C,J3,A,58.120000000000005,0,True
A,C,A,61.75,0,True
A,C,J2,63.63,0,True
C,J3,J1,63.81,0,True
C,C,J2,64.7,0,True
C,J1,J1,64.88,0,True
A,C,J1,67.84,0,True
A,J3,A,76.92,0,True
A,J1,A,79.53,0,True
A,J1,J1,82.02,0,True
A,J3,J1,89.22,0,True
J2,J3,A,90.0,1,False
J3,C,J2,90.0,1,False
A,C,B,90.0,6,False
A,J1,B,90.0,6,False
C,C,B,90.0,6,False
C,J1,B,90.0,6,False
A,J1,J2,90.0,13,False
C,J1,J2,90.0,14,False
J3,C,A,90.0,20,False
J2,C,A,90.0,28,False
A,J3,B,90.0,30,False
C,J3,B,90.0,30,False
J2,C,B,90.0,34,False
J3,C,B,90.0,43,False
A,J3,J2,90.0,60,False
C,J3,J2,90.0,60,False
J3,J3,A,90.0,60,False
J2,J1,A,90.0,65,False
J3,J1,B,90.0,66,False
J3,J3,B,90.0,69,False
J2,J1,B,90.0,71,False
J3,J1,A,90.0,71,False
J2,J3,B,90.0,72,False
J2,C,J1,90.0,73,False
J3,C,J1,90.0,75,False
J2,C,J2,90.0,76,False
J2,J1,J1,90.0,100,False
J2,J1,J2,90.0,100,False
J2,J3,J1,90.0,100,False
J2,J3,J2,90.0,100,False
J3,J1,J1,90.0,100,False
J3,J1,J2,90.0,100,False
J3,J3,J1,90.0,100,False
J3,J3,J2,90.0,100,False
