incident,pre_policy,post_policy,seed,surge_count,elapsed_time,remaining_agents,episode_reward,error
B_route_08,CCA,CJ3A,0,40,66.02,0,-0.5183650793650793,
B_route_08,CCA,ACA,0,40,70.21000000000001,0,-0.5491825396825397,
B_route_08,CCA,ACB,0,40,70.21000000000001,0,-0.5452142857142858,
B_route_08,CCA,ACJ1,0,40,70.21000000000001,0,-0.5491825396825397,
B_route_08,CCA,CCA,0,40,71.12,0,-0.5621746031746032,
B_route_08,CCA,AJ3B,0,40,90.66,0,-0.6746984126984126,
C_exit,CCA,AJ3B,0,40,67.36,0,-0.5337460317460317,
C_exit,CCA,CJ3A,0,40,93.64,0,-0.7218095238095238,
C_exit,CCA,ACA,0,40,113.61,0,-0.8569603174603174,
C_exit,CCA,ACJ1,0,40,113.61,0,-0.8569603174603174,
C_exit,CCA,ACB,0,40,113.61,0,-0.8533888888888889,
C_exit,CCA,CCA,0,40,180.0,79,-1.6011904761904758,
,CCA,CJ3A,0,40,66.02,0,-0.5183650793650793,
,CCA,AJ3B,0,40,67.36,0,-0.5242222222222221,
,CCA,ACA,0,40,70.21000000000001,0,-0.5491825396825397,
,CCA,ACB,0,40,70.21000000000001,0,-0.5452142857142858,
,CCA,ACJ1,0,40,70.21000000000001,0,-0.5491825396825397,
,CCA,CCA,0,40,71.12,0,-0.5621746031746032,
bottom_loop_left,CCA,ACA,0,40,70.15,0,-0.5488492063492063,
bottom_loop_left,CCA,ACB,0,40,70.15,0,-0.5448809523809524,
bottom_loop_left,CCA,ACJ1,0,40,70.15,0,-0.5488492063492063,
bottom_loop_left,CCA,CCA,0,40,72.54,0,-0.5700634920634922,
bottom_loop_left,CCA,AJ3B,0,40,82.17,0,-0.6295158730158731,
bottom_loop_left,CCA,CJ3A,0,40,91.43,0,-0.7019920634920636,
