action,policy,incident,surge_room,surge_time,elapsed_time,remaining_agents,episode_reward,error
0,ACB,A_exit,C,10.0,69.7,0,-0.5574603174603174,
28,J3CB,A_exit,C,10.0,69.7,0,-0.588015873015873,
11,CCB,A_exit,C,10.0,71.12,0,-0.5701111111111111,
14,CCA,A_exit,C,10.0,71.12,0,-0.5645555555555556,
12,CCJ1,A_exit,C,10.0,76.86,0,-0.630968253968254,
2,ACJ2,A_exit,C,10.0,81.96000000000001,0,-0.6565238095238096,
13,CCJ2,A_exit,C,10.0,83.34,0,-0.6721269841269841,
3,ACA,A_exit,C,10.0,83.45,0,-0.6683730158730159,
1,ACJ1,A_exit,C,10.0,83.93,0,-0.669452380952381,
20,CJ3J1,A_exit,C,10.0,86.35000000000001,0,-0.7035317460317461,
15,CJ1B,A_exit,C,10.0,89.8,0,-0.7044444444444443,
18,CJ1A,A_exit,C,10.0,89.8,0,-0.6988888888888888,
16,CJ1J1,A_exit,C,10.0,96.45,0,-0.7739285714285714,
8,AJ3B,A_exit,C,10.0,100.07000000000001,0,-0.7944365079365079,
19,CJ3B,A_exit,C,10.0,100.07000000000001,0,-0.7880873015873016,
21,CJ3A,A_exit,C,10.0,102.43,0,-0.7821507936507937,
17,CJ1J2,A_exit,C,10.0,107.46000000000001,0,-0.8616825396825397,
29,J3CJ2,A_exit,C,10.0,108.69,0,-0.8970873015873014,
31,J3J1B,A_exit,C,10.0,113.05,0,-0.9375793650793651,
26,J2J3B,A_exit,C,10.0,127.74000000000001,0,-1.0664126984126987,
33,J3J3B,A_exit,C,10.0,138.17000000000002,0,-1.1441984126984128,
27,J2J3A,A_exit,C,10.0,157.84,0,-1.259031746031746,
4,AJ1B,A_exit,C,10.0,180.0,49,-1.453571428571428,
7,AJ1A,A_exit,C,10.0,180.0,84,-1.643650793650793,
6,AJ1J2,A_exit,C,10.0,180.0,61,-1.542063492063492,
5,AJ1J1,A_exit,C,10.0,180.0,68,-1.568253968253968,
9,AJ3J1,A_exit,C,10.0,180.0,46,-1.4785714285714282,
10,AJ3A,A_exit,C,10.0,180.0,103,-1.7496031746031753,
22,J2CB,A_exit,C,10.0,180.0,31,-1.5242063492063491,
23,J2CJ1,A_exit,C,10.0,180.0,93,-1.710714285714285,
25,J2CA,A_exit,C,10.0,180.0,31,-1.5186507936507936,
24,J2CJ2,A_exit,C,10.0,180.0,83,-1.7178571428571427,
30,J3CA,A_exit,C,10.0,180.0,2,-1.2392857142857143,
34,J3J3A,A_exit,C,10.0,180.0,41,-1.589285714285714,
32,J3J1A,A_exit,C,10.0,180.0,49,-1.617460317460317,
21,CJ3A,C_exit,C,10.0,71.47,0,-0.5803888888888888,
